; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-29 18:46:10
; Channels (2/16)
; ChannelsType: 3
; Sample rate: 5 MHz
; Sample count: 58.151489 M
; Sampling time: 2026-05-29 18:45:18.096
SystemTime, Time(s), Channel 0, Channel 1
'2026-05-29 18:45:18.096000000,0.000000000,1,0
'2026-05-29 18:45:18.096004400,0.000004400,0,0
'2026-05-29 18:45:18.096004600,0.000004600,1,0
'2026-05-29 18:45:18.096005400,0.000005400,0,0
'2026-05-29 18:45:18.096005600,0.000005600,1,0
'2026-05-29 18:45:18.096005800,0.000005800,0,0
'2026-05-29 18:45:18.096006000,0.000006000,1,0
'2026-05-29 18:45:18.096008400,0.000008400,0,0
'2026-05-29 18:45:18.096008600,0.000008600,1,0
'2026-05-29 18:45:18.096009000,0.000009000,0,0
'2026-05-29 18:45:18.096009400,0.000009400,1,0
'2026-05-29 18:45:18.096009600,0.000009600,0,0
'2026-05-29 18:45:18.096010000,0.000010000,1,0
'2026-05-29 18:45:18.096010200,0.000010200,0,0
'2026-05-29 18:45:18.096010600,0.000010600,1,0
'2026-05-29 18:45:18.096010800,0.000010800,0,0
'2026-05-29 18:45:18.096015000,0.000015000,1,0
'2026-05-29 18:45:18.096015200,0.000015200,0,0
'2026-05-29 18:45:18.096043600,0.000043600,1,0
'2026-05-29 18:45:18.096043800,0.000043800,0,0
'2026-05-29 18:45:18.421628800,0.325628800,0,1
'2026-05-29 18:45:18.421648200,0.325648200,1,1
'2026-05-29 18:45:18.580120600,0.484120600,1,0
'2026-05-29 18:45:18.580129200,0.484129200,1,1
'2026-05-29 18:45:18.580138000,0.484138000,1,0
'2026-05-29 18:45:18.580146600,0.484146600,1,1
'2026-05-29 18:45:18.580155400,0.484155400,1,0
'2026-05-29 18:45:18.580164000,0.484164000,1,1
'2026-05-29 18:45:18.580172800,0.484172800,1,0
'2026-05-29 18:45:18.580181400,0.484181400,1,1
'2026-05-29 18:45:18.580190000,0.484190000,1,0
'2026-05-29 18:45:18.580198800,0.484198800,1,1
'2026-05-29 18:45:18.580207400,0.484207400,1,0
'2026-05-29 18:45:18.580216200,0.484216200,1,1
'2026-05-29 18:45:18.580224800,0.484224800,1,0
'2026-05-29 18:45:18.580242200,0.484242200,1,1
'2026-05-29 18:45:18.580268200,0.484268200,1,0
'2026-05-29 18:45:18.580285600,0.484285600,1,1
'2026-05-29 18:45:18.580294400,0.484294400,1,0
'2026-05-29 18:45:18.580320400,0.484320400,1,1
'2026-05-29 18:45:18.580329000,0.484329000,1,0
'2026-05-29 18:45:18.580372600,0.484372600,1,1
'2026-05-29 18:45:18.580381200,0.484381200,1,0
'2026-05-29 18:45:18.580389800,0.484389800,1,1
'2026-05-29 18:45:18.580398600,0.484398600,1,0
'2026-05-29 18:45:18.580407200,0.484407200,1,1
'2026-05-29 18:45:18.580416000,0.484416000,1,0
'2026-05-29 18:45:18.580433400,0.484433400,1,1
'2026-05-29 18:45:18.580442000,0.484442000,1,0
'2026-05-29 18:45:18.580459400,0.484459400,1,1
'2026-05-29 18:45:18.580468200,0.484468200,1,0
'2026-05-29 18:45:18.580476800,0.484476800,1,1
'2026-05-29 18:45:18.580494200,0.484494200,1,0
'2026-05-29 18:45:18.580502800,0.484502800,1,1
'2026-05-29 18:45:18.580511600,0.484511600,1,0
'2026-05-29 18:45:18.580546200,0.484546200,1,1
'2026-05-29 18:45:18.580555000,0.484555000,1,0
'2026-05-29 18:45:18.580572400,0.484572400,1,1
'2026-05-29 18:45:18.580581000,0.484581000,1,0
'2026-05-29 18:45:18.580633200,0.484633200,1,1
'2026-05-29 18:45:18.580641800,0.484641800,1,0
'2026-05-29 18:45:18.580711400,0.484711400,1,1
'2026-05-29 18:45:18.580728800,0.484728800,1,0
'2026-05-29 18:45:18.580737400,0.484737400,1,1
'2026-05-29 18:45:18.580789600,0.484789600,1,0
'2026-05-29 18:45:18.580807000,0.484807000,1,1
'2026-05-29 18:45:18.580815600,0.484815600,1,0
'2026-05-29 18:45:18.580893800,0.484893800,1,1
'2026-05-29 18:45:18.580902400,0.484902400,1,0
'2026-05-29 18:45:18.580911200,0.484911200,1,1
'2026-05-29 18:45:18.580919800,0.484919800,1,0
'2026-05-29 18:45:18.580928600,0.484928600,1,1
'2026-05-29 18:45:18.580946000,0.484946000,1,0
'2026-05-29 18:45:18.580980600,0.484980600,1,1
'2026-05-29 18:45:18.580989400,0.484989400,1,0
'2026-05-29 18:45:18.581006800,0.485006800,1,1
'2026-05-29 18:45:18.581015400,0.485015400,1,0
'2026-05-29 18:45:18.581067600,0.485067600,1,1
'2026-05-29 18:45:18.581076200,0.485076200,1,0
'2026-05-29 18:45:18.581154400,0.485154400,1,1
'2026-05-29 18:45:18.581163200,0.485163200,1,0
'2026-05-29 18:45:18.581171800,0.485171800,1,1
'2026-05-29 18:45:18.581189200,0.485189200,1,0
'2026-05-29 18:45:18.581197800,0.485197800,1,1
'2026-05-29 18:45:18.581206600,0.485206600,1,0
'2026-05-29 18:45:18.581241400,0.485241400,1,1
'2026-05-29 18:45:18.581250000,0.485250000,1,0
'2026-05-29 18:45:18.581276000,0.485276000,1,1
'2026-05-29 18:45:18.581310800,0.485310800,1,0
'2026-05-29 18:45:18.581328200,0.485328200,1,1
'2026-05-29 18:45:18.581336800,0.485336800,1,0
'2026-05-29 18:45:18.581415000,0.485415000,1,1
'2026-05-29 18:45:18.581423800,0.485423800,1,0
'2026-05-29 18:45:18.581502000,0.485502000,1,1
'2026-05-29 18:45:18.581510600,0.485510600,1,0
'2026-05-29 18:45:18.581519400,0.485519400,1,1
'2026-05-29 18:45:18.581536800,0.485536800,1,0
'2026-05-29 18:45:18.581588800,0.485588800,1,1
'2026-05-29 18:45:18.581597600,0.485597600,1,0
'2026-05-29 18:45:18.581675600,0.485675600,1,1
'2026-05-29 18:45:18.581684400,0.485684400,1,0
'2026-05-29 18:45:18.581762600,0.485762600,1,1
'2026-05-29 18:45:18.581771200,0.485771200,1,0
'2026-05-29 18:45:18.581849400,0.485849400,1,1
'2026-05-29 18:45:18.581858200,0.485858200,1,0
'2026-05-29 18:45:18.581875600,0.485875600,1,1
'2026-05-29 18:45:18.581919000,0.485919000,1,0
'2026-05-29 18:45:18.581927600,0.485927600,1,1
'2026-05-29 18:45:18.581945000,0.485945000,1,0
'2026-05-29 18:45:18.581953800,0.485953800,1,1
'2026-05-29 18:45:18.581979800,0.485979800,1,0
'2026-05-29 18:45:18.581988400,0.485988400,1,1
'2026-05-29 18:45:18.581997200,0.485997200,1,0
'2026-05-29 18:45:18.582023200,0.486023200,1,1
'2026-05-29 18:45:18.582032000,0.486032000,1,0
'2026-05-29 18:45:18.582110200,0.486110200,1,1
'2026-05-29 18:45:18.582118800,0.486118800,1,0
'2026-05-29 18:45:18.582197000,0.486197000,1,1
'2026-05-29 18:45:18.582205600,0.486205600,1,0
'2026-05-29 18:45:18.582214400,0.486214400,1,1
'2026-05-29 18:45:18.582223000,0.486223000,1,0
'2026-05-29 18:45:18.582231800,0.486231800,1,1
'2026-05-29 18:45:18.582249200,0.486249200,1,0
'2026-05-29 18:45:18.582257800,0.486257800,1,1
'2026-05-29 18:45:18.582266600,0.486266600,1,0
'2026-05-29 18:45:18.582283800,0.486283800,1,1
'2026-05-29 18:45:18.582292600,0.486292600,1,0
'2026-05-29 18:45:18.582301200,0.486301200,1,1
'2026-05-29 18:45:18.582310000,0.486310000,1,0
'2026-05-29 18:45:18.582318600,0.486318600,1,1
'2026-05-29 18:45:18.582336000,0.486336000,1,0
'2026-05-29 18:45:18.582370800,0.486370800,1,1
'2026-05-29 18:45:18.582379400,0.486379400,1,0
'2026-05-29 18:45:18.582457600,0.486457600,1,1
'2026-05-29 18:45:18.582466400,0.486466400,1,0
'2026-05-29 18:45:18.582544600,0.486544600,1,1
'2026-05-29 18:45:18.582553200,0.486553200,1,0
'2026-05-29 18:45:18.582605400,0.486605400,1,1
'2026-05-29 18:45:18.582640000,0.486640000,1,0
'2026-05-29 18:45:18.582718200,0.486718200,1,1
'2026-05-29 18:45:18.582727000,0.486727000,1,0
'2026-05-29 18:45:18.582753000,0.486753000,1,1
'2026-05-29 18:45:18.582761800,0.486761800,1,0
'2026-05-29 18:45:18.582805200,0.486805200,1,1
'2026-05-29 18:45:18.582813800,0.486813800,1,0
'2026-05-29 18:45:18.582822600,0.486822600,1,1
'2026-05-29 18:45:18.582848600,0.486848600,1,0
'2026-05-29 18:45:18.582857200,0.486857200,1,1
'2026-05-29 18:45:18.582874600,0.486874600,1,0
'2026-05-29 18:45:18.582892000,0.486892000,1,1
'2026-05-29 18:45:18.582900800,0.486900800,1,0
'2026-05-29 18:45:18.582979000,0.486979000,1,1
'2026-05-29 18:45:18.582987600,0.486987600,1,0
'2026-05-29 18:45:18.583065800,0.487065800,1,1
'2026-05-29 18:45:18.583074400,0.487074400,1,0
'2026-05-29 18:45:18.583152600,0.487152600,1,1
'2026-05-29 18:45:18.583161400,0.487161400,1,0
'2026-05-29 18:45:18.583239600,0.487239600,1,1
'2026-05-29 18:45:18.583248200,0.487248200,1,0
'2026-05-29 18:45:18.583257000,0.487257000,1,1
'2026-05-29 18:45:18.583274400,0.487274400,1,0
'2026-05-29 18:45:18.583326400,0.487326400,1,1
'2026-05-29 18:45:18.583335200,0.487335200,1,0
'2026-05-29 18:45:18.583404600,0.487404600,1,1
'2026-05-29 18:45:18.583422000,0.487422000,1,0
'2026-05-29 18:45:18.583500200,0.487500200,1,1
'2026-05-29 18:45:18.583509000,0.487509000,1,0
'2026-05-29 18:45:18.583587000,0.487587000,1,1
'2026-05-29 18:45:18.583595800,0.487595800,1,0
'2026-05-29 18:45:18.583604400,0.487604400,1,1
'2026-05-29 18:45:18.583621800,0.487621800,1,0
'2026-05-29 18:45:18.583639200,0.487639200,1,1
'2026-05-29 18:45:18.583648000,0.487648000,1,0
'2026-05-29 18:45:18.583674000,0.487674000,1,1
'2026-05-29 18:45:18.583682600,0.487682600,1,0
'2026-05-29 18:45:18.583691400,0.487691400,1,1
'2026-05-29 18:45:18.583700000,0.487700000,1,0
'2026-05-29 18:45:18.583760800,0.487760800,1,1
'2026-05-29 18:45:18.583769600,0.487769600,1,0
'2026-05-29 18:45:18.583795600,0.487795600,1,1
